Feature,Value
DPC_297,0.0
DPC_298,0.0
DPC_299,0.0
DPC_300,0.0
DPC_301,0.0
DPC_302,0.0
DPC_303,0.0
DPC_304,0.0
DPC_305,0.0
DPC_306,0.0
DPC_307,0.0
DPC_308,0.0
DPC_309,0.0
DPC_310,0.0
DPC_311,0.0
DPC_312,0.0
DPC_313,0.0
DPC_314,0.0
DPC_315,0.0
DPC_316,0.0
DPC_317,0.0
DPC_318,0.0
DPC_319,0.0
DPC_320,0.0
DPC_321,0.0
DPC_322,0.0
DPC_323,0.0
DPC_324,0.0
DPC_325,0.0
DPC_326,0.0
DPC_327,0.0
DPC_328,0.0
DPC_329,0.0
DPC_330,0.0
DPC_331,0.0
DPC_332,0.0
DPC_333,0.0
DPC_334,0.0
DPC_335,0.0
DPC_336,0.0
DPC_337,0.0
DPC_338,0.0
DPC_339,0.0
DPC_340,0.0
DPC_341,0.0
DPC_342,0.0
DPC_343,0.0
DPC_344,0.0
DPC_345,0.0
DPC_346,0.0
DPC_347,0.0
DPC_348,0.0
DPC_349,0.0
DPC_350,0.0
DPC_351,0.0
DPC_352,0.0
DPC_353,0.0
DPC_354,0.0
DPC_355,0.0
DPC_356,0.0
DPC_357,0.0
DPC_358,0.0
DPC_359,0.0
DPC_360,0.0
DPC_361,0.0
DPC_362,0.0
DPC_363,0.0
DPC_364,0.0
DPC_365,0.0
DPC_366,0.0
DPC_367,0.0
DPC_368,0.0
DPC_369,0.0
DPC_370,0.0
DPC_371,0.0
DPC_372,0.0
DPC_373,0.0
DPC_374,0.0
DPC_375,0.0
DPC_376,0.0
DPC_377,0.0
DPC_378,0.0
DPC_379,0.0
DPC_380,0.0
DPC_381,0.0
DPC_382,0.0
DPC_383,0.0
DPC_384,0.0
DPC_385,0.0
DPC_386,0.0
DPC_387,0.0
DPC_388,0.0
DPC_389,0.0
DPC_390,0.0
DPC_391,0.0
DPC_392,0.0
DPC_393,0.0
DPC_394,0.0
DPC_395,0.0
DPC_396,0.0
DPC_397,0.0
DPC_398,0.0
DPC_399,0.0
DPC_400,0.0
PCP_1,0.0
PCP_2,0.0
PCP_3,0.0
PCP_4,0.14285714285714285
PCP_5,0.7142857142857143
PCP_6,0.42857142857142855
PCP_7,0.2857142857142857
PCP_8,0.14285714285714285
PCP_9,0.0
PCP_10,0.0
PCP_11,0.0
PCP_12,0.5714285714285714
PCP_13,0.7142857142857143
PCP_14,0.2857142857142857
PCP_15,0.2857142857142857
PCP_16,0.0
PCP_17,0.2857142857142857
PCP_18,0.14285714285714285
PCP_19,0.42857142857142855
PCP_20,0.2857142857142857
Pharma_1,745.8750000000005
Pharma_2,-1.0977999999999881
Pharma_3,10.0
Pharma_4,9.0
Pharma_5,19.0
Pharma_6,255.59999999999997
Pharma_7,1.0
Pharma_8,294.0
Pharma_9,53.0
Pharma_10,3.0
Pharma_11,0.6388888888888888
Pharma_12,2.0
Pharma_13,17.0
Pharma_14,2.0
Pharma_15,0.0
Pharma_16,0.32812208969211515
